descripcion_conducta;armas_medios;barrios_hecho;fecha_hecho;hora_hecho;edad;sexo;movil_victima;movil_agresor;clase_sitio;articulo;delito_solo;curso_vida;curso_vida_orden;mes_num;dia_num;rango_horario;rango_horario_orden;dia_nombre;dia_nombre_orden;localidad;num_com;nom_com;cantidad_unica;año_num;tipología
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;URB. EL SOL I;6/01/2016;7:20:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;6;7:00-7:59;7;miércoles;3;09. LA PEDREGOSA;9;LA PEDREGOSA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;UNIVERSIDAD;10/01/2016;0:45:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;1;10;0:00-0:59;0;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;KENNEDY;16/01/2016;14:10:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;14:00-14:59;14;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MARÍA PAZ;16/01/2016;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;16;11:00-11:59;11;sábado;6;01. NORTE;1;NORTE;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;21/01/2016;18:40:00;31;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;30-34;6;1;21;18:00-18:59;18;jueves;4;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;15:55:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;15:00-15:59;15;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;15:55:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;15:00-15:59;15;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;15:55:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;15:00-15:59;15;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;15:55:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;15:00-15:59;15;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;15:55:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;15:00-15:59;15;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;3:50:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;3:00-3:59;3;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GIRARDOT;22/01/2016;15:55:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;22;15:00-15:59;15;viernes;5;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
